date,truth,lstm_pred
2016-11-19,321217.0,296420.318359375
2016-11-20,346068.0,318265.1103515625
2016-11-21,377543.0,386603.5859375
2016-11-22,381512.0,374942.8776855469
2016-11-23,367333.0,374727.5302734375
2016-11-24,291570.0,359402.37548828125
2016-11-25,296893.0,292140.72009277344
2016-11-26,314512.0,298488.11584472656
2016-11-27,324583.0,324051.20703125
2016-11-28,356965.0,351941.212890625
2016-11-29,331295.0,362954.19580078125
2016-11-30,329918.0,331274.6881504059
2016-12-01,357346.0,339045.232421875
2016-12-02,370998.0,359403.1105957031
2016-12-03,346435.0,357473.427734375
2016-12-04,342712.0,339182.74072265625
2016-12-05,362605.0,378251.359375
2016-12-06,376860.0,370437.2431640625
2016-12-07,374652.0,389898.2177734375
2016-12-08,403611.0,381862.03662109375
2016-12-09,426502.0,404515.3603515625
2016-12-10,404482.0,401813.783203125
2016-12-11,379886.0,386880.140625
2016-12-12,380072.0,401606.875
2016-12-13,395825.0,384727.1728515625
2016-12-14,411744.0,398401.5646972656
2016-12-15,461919.0,415136.3190917969
2016-12-16,469464.0,457398.2744140625
2016-12-17,378912.0,420948.03515625
2016-12-18,358696.0,347905.8828125
2016-12-19,427475.0,407789.73046875
2016-12-20,433923.0,428963.21337890625
2016-12-21,410645.0,410628.150390625
2016-12-22,381689.0,391337.59375
2016-12-23,372437.0,364908.162109375
2016-12-24,318380.0,349987.2578125
2016-12-25,292305.0,310465.3359375
2016-12-26,293817.0,318839.498046875
2016-12-27,323425.0,338623.125
2016-12-28,357566.0,350592.166015625
2016-12-29,356271.0,363550.09423828125
2016-12-30,374018.0,352038.0458984375
2016-12-31,359505.0,363644.5166015625
2017-01-01,313746.0,347066.6708984375
2017-01-02,323486.0,340061.373046875
2017-01-03,346960.0,373781.16796875
2017-01-04,375407.0,366594.59765625
2017-01-05,434529.0,397700.134765625
2017-01-06,448984.0,429131.95703125
2017-01-07,449971.0,413669.48828125
2017-01-08,454685.0,435071.93359375
2017-01-09,470170.0,466244.7265625
2017-01-10,418391.0,449717.09375
2017-01-11,373521.0,406516.3876953125
2017-01-12,345408.0,403995.283203125
2017-01-13,362732.0,375337.111328125
2017-01-14,353356.0,358988.2531738281
2017-01-15,339578.0,347457.173828125
2017-01-16,366121.0,370612.322265625
2017-01-17,350650.0,386762.49609375
2017-01-18,354859.0,361245.5244140625
2017-01-19,365190.0,367151.2998046875
2017-01-20,347073.0,358576.58154296875
2017-01-21,309393.0,325188.583984375
2017-01-22,295093.0,304701.72802734375
2017-01-23,346275.0,342081.99609375
2017-01-24,363668.0,372729.935546875
2017-01-25,356699.0,366837.99951171875
2017-01-26,371210.0,361472.3212890625
2017-01-27,401521.0,370327.8890991211
2017-01-28,374646.0,379146.53515625
2017-01-29,362073.0,357395.19921875
2017-01-30,412152.0,390745.689453125
2017-01-31,393704.0,418246.23486328125
2017-02-01,370693.0,387699.17578125
2017-02-02,386991.0,377779.02197265625
2017-02-03,413014.0,391419.7197265625
2017-02-04,400462.0,397203.0322265625
2017-02-05,347857.0,378961.634765625
2017-02-06,363434.0,375699.119140625
2017-02-07,337230.0,372467.9638671875
2017-02-08,343832.0,353017.86328125
2017-02-09,405701.0,376082.501953125
2017-02-10,419127.0,415446.947265625
2017-02-11,328529.0,375692.88671875
2017-02-12,297811.0,293778.80859375
2017-02-13,364047.0,355326.6171875
2017-02-14,372826.0,393517.0
2017-02-15,375118.0,367456.10302734375
2017-02-16,392742.0,384478.388671875
2017-02-17,355436.0,391219.7489013672
2017-02-18,307777.0,319000.5234375
2017-02-19,292549.0,297520.919921875
2017-02-20,335623.0,331951.90625
2017-02-21,329349.0,374217.90625
2017-02-22,325986.0,330939.6848144531
2017-02-23,322496.0,335178.087890625
