date,truth,cnn_lstm_pred
2017-06-09,331719.0,325843.9020996094
2017-06-10,331600.0,307449.806640625
2017-06-11,346270.0,326347.15283203125
2017-06-12,404897.0,392069.96484375
2017-06-13,403566.0,410333.31201171875
2017-06-14,393390.0,395442.07373046875
2017-06-15,396435.0,390866.1672363281
2017-06-16,392548.0,371137.482421875
2017-06-17,374074.0,355906.48046875
2017-06-18,363425.0,361333.5439453125
2017-06-19,365554.0,353458.435546875
2017-06-20,353230.0,354230.626953125
2017-06-21,369285.0,347273.40576171875
2017-06-22,392204.0,381408.8203125
2017-06-23,373786.0,372703.103515625
2017-06-24,331467.0,327184.44921875
2017-06-25,301469.0,323977.46044921875
2017-06-26,324014.0,334811.58984375
2017-06-27,326931.0,333409.67578125
2017-06-28,334595.0,332925.23779296875
2017-06-29,376990.0,346423.51171875
2017-06-30,388870.0,374230.2609863281
2017-07-01,354699.0,354844.33203125
2017-07-02,346142.0,339015.4765625
2017-07-03,360846.0,381658.2421875
2017-07-04,342395.0,369159.2177734375
2017-07-05,375381.0,372258.541015625
2017-07-06,377448.0,394478.638671875
2017-07-07,369223.0,369714.9638671875
2017-07-08,330853.0,349426.296875
2017-07-09,322366.0,325456.32470703125
2017-07-10,366140.0,370391.26171875
2017-07-11,390406.0,385110.580078125
2017-07-12,409691.0,398729.556640625
2017-07-13,408683.0,409403.65966796875
2017-07-14,402333.0,386460.591796875
2017-07-15,355794.0,372103.32421875
2017-07-16,348308.0,347560.607421875
2017-07-17,396291.0,397310.75
2017-07-18,415077.0,406586.4833984375
2017-07-19,427281.0,417205.0368652344
2017-07-20,430463.0,428469.19177246094
2017-07-21,423681.0,417937.529296875
2017-07-22,392836.0,392367.396484375
2017-07-23,369685.0,379547.0947265625
2017-07-24,392240.0,393072.76953125
2017-07-25,372036.0,385353.3037109375
2017-07-26,378975.0,372630.6312866211
2017-07-27,383108.0,391262.080078125
2017-07-28,374735.0,383178.2770385742
2017-07-29,322949.0,338307.66796875
2017-07-30,327174.0,312577.73046875
2017-07-31,382389.0,373261.69921875
2017-08-01,387813.0,402347.380859375
2017-08-02,389795.0,390317.02587890625
2017-08-03,392999.0,390505.90447998047
2017-08-04,364607.0,381778.482421875
2017-08-05,309570.0,324906.24609375
2017-08-06,297737.0,304175.8349609375
2017-08-07,340310.0,348310.4375
2017-08-08,354050.0,357157.5546875
2017-08-09,358806.0,364597.7138671875
2017-08-10,359963.0,367948.4814453125
2017-08-11,368152.0,359243.1853027344
2017-08-12,338436.0,345304.71484375
2017-08-13,326801.0,324257.5625
2017-08-14,370415.0,371286.84765625
2017-08-15,397129.0,381200.2216796875
2017-08-16,407378.0,398113.19494628906
2017-08-17,417209.0,407785.12561035156
2017-08-18,404572.0,393162.607421875
2017-08-19,359065.0,355793.0625
2017-08-20,359564.0,344871.7998046875
2017-08-21,415084.0,403820.140625
2017-08-22,407347.0,425091.458984375
2017-08-23,370258.0,383069.970703125
2017-08-24,343708.0,367356.138671875
2017-08-25,331714.0,336223.84326171875
2017-08-26,307187.0,311534.798828125
2017-08-27,306649.0,307531.1363220215
2017-08-28,343347.0,359569.1171875
2017-08-29,351154.0,349514.9296875
2017-08-30,356557.0,355173.40380859375
2017-08-31,352758.0,368246.453125
2017-09-01,316908.0,346791.98388671875
2017-09-02,277547.0,282063.265625
2017-09-03,281766.0,270264.41796875
2017-09-04,308542.0,322840.91796875
2017-09-05,338661.0,331039.591796875
2017-09-06,314563.0,330865.8505859375
2017-09-07,313770.0,313361.3186035156
2017-09-08,311672.0,305086.7939453125
2017-09-09,285702.0,277644.4453125
2017-09-10,275496.0,273742.4580078125
2017-09-11,312959.0,314256.59375
2017-09-12,322822.0,317020.755859375
2017-09-13,329364.0,322991.2892303467
2017-09-14,329840.0,327001.30517578125
2017-09-15,333548.0,318956.576171875
2017-09-16,318927.0,297007.5234375
2017-09-17,317927.0,304517.1962890625
2017-09-18,357343.0,351051.05078125
2017-09-19,356169.0,360798.6044921875
2017-09-20,371577.0,346157.591796875
2017-09-21,388488.0,366520.75732421875
2017-09-22,387270.0,370009.18359375
2017-09-23,357117.0,336283.26171875
2017-09-24,343973.0,342120.8505859375
2017-09-25,384273.0,366899.232421875
2017-09-26,389731.0,380357.9025878906
2017-09-27,381639.0,378625.04296875
2017-09-28,341527.0,359591.25390625
2017-09-29,316200.0,306092.78125
2017-09-30,279956.0,285876.50390625
2017-10-01,273102.0,278075.6043701172
2017-10-02,316188.0,317742.75
2017-10-03,331339.0,320351.67041015625
2017-10-04,341210.0,334724.9362792969
2017-10-05,335703.0,341842.3338623047
2017-10-06,328544.0,320781.4970703125
2017-10-07,315878.0,301552.892578125
2017-10-08,301889.0,295652.59375
2017-10-09,351840.0,312601.4833984375
2017-10-10,351766.0,376405.240234375
2017-10-11,344606.0,350973.9180908203
2017-10-12,321690.0,339295.1904296875
2017-10-13,317871.0,311673.5546875
2017-10-14,299371.0,294932.451171875
2017-10-15,294509.0,287658.1083984375
2017-10-16,312040.0,339586.8359375
2017-10-17,322774.0,322981.9404296875
2017-10-18,325216.0,323794.7901611328
2017-10-19,319459.0,324136.20153808594
2017-10-20,315150.0,311018.65625
2017-10-21,287408.0,291056.576171875
2017-10-22,280393.0,280783.45751953125
2017-10-23,313133.0,319472.73828125
2017-10-24,313445.0,317457.501953125
2017-10-25,324324.0,317679.349609375
2017-10-26,331667.0,326350.29638671875
2017-10-27,323498.0,328045.6267089844
2017-10-28,305372.0,290907.779296875
2017-10-29,315250.0,310374.5869140625
2017-10-30,358027.0,362277.33984375
2017-10-31,348892.0,366848.15234375
2017-11-01,348190.0,351216.119140625
2017-11-02,326441.0,348147.8231048584
2017-11-03,315836.0,315239.0283203125
2017-11-04,296228.0,296329.24609375
2017-11-05,296819.0,295783.65158081055
2017-11-06,317579.0,339578.55078125
2017-11-07,337042.0,344829.580078125
2017-11-08,350466.0,343967.10595703125
2017-11-09,352122.0,355324.85693359375
2017-11-10,367495.0,351409.0569458008
2017-11-11,363571.0,347399.849609375
2017-11-12,336239.0,344633.474609375
2017-11-13,360492.0,357983.037109375
2017-11-14,362449.0,362255.3741455078
2017-11-15,371627.0,361456.8663330078
2017-11-16,358535.0,369567.6130371094
2017-11-17,356502.0,351578.98583984375
2017-11-18,324239.0,333629.400390625
2017-11-19,331229.0,315671.0859375
2017-11-20,376104.0,382382.2265625
2017-11-21,366962.0,374012.1044921875
2017-11-22,356644.0,360801.10205078125
2017-11-23,337925.0,354920.6472167969
2017-11-24,326851.0,342767.21923828125
2017-11-25,310404.0,314062.0234375
2017-11-26,327851.0,304763.12353515625
2017-11-27,367684.0,379747.14453125
2017-11-28,358689.0,361167.1572265625
2017-11-29,350667.0,355893.3127441406
2017-11-30,352533.0,347169.34228515625
2017-12-01,350211.0,347385.10205078125
2017-12-02,339917.0,340204.5361328125
2017-12-03,327569.0,333823.04638671875
2017-12-04,363368.0,364237.96484375
2017-12-05,352854.0,366254.1013183594
2017-12-06,383091.0,367559.20703125
2017-12-07,399318.0,408800.6796875
2017-12-08,413441.0,392716.04833984375
2017-12-09,394494.0,389811.306640625
2017-12-10,380702.0,379834.5556640625
2017-12-11,398443.0,411555.935546875
2017-12-12,415576.0,391465.37451171875
2017-12-13,436002.0,436383.353515625
2017-12-14,411556.0,433043.3098144531
2017-12-15,424291.0,405023.64501953125
2017-12-16,375683.0,402427.8046875
2017-12-17,366546.0,343153.78515625
2017-12-18,373903.0,387598.142578125
2017-12-19,358916.0,367782.583984375
2017-12-20,362297.0,351922.7578125
2017-12-21,380985.0,362563.5129699707
2017-12-22,350410.0,374893.09326171875
2017-12-23,326509.0,325402.326171875
2017-12-24,330255.0,334733.9599609375
2017-12-25,362107.0,364427.0
2017-12-26,400713.0,413633.85546875
2017-12-27,439663.0,401062.4422302246
2017-12-28,465511.0,437789.216796875
2017-12-29,434221.0,439643.5
2017-12-30,414764.0,391254.03125
2017-12-31,441162.0,400910.5087890625
2018-01-01,468324.0,468204.443359375
2018-01-02,502524.0,482301.205078125
2018-01-03,496690.0,480644.15234375
2018-01-04,491361.0,467104.396484375
2018-01-05,508004.0,483302.42822265625
2018-01-06,500348.0,468559.9921875
2018-01-07,475281.0,470290.23046875
2018-01-08,437769.0,440956.83203125
2018-01-09,400218.0,411315.095703125
2018-01-10,384672.0,395676.05859375
2018-01-11,356455.0,367803.876953125
2018-01-12,361633.0,347231.978515625
2018-01-13,422123.0,381569.072265625
2018-01-14,441362.0,441047.9140625
2018-01-15,464372.0,432750.330078125
2018-01-16,458549.0,434212.033203125
2018-01-17,487519.0,457332.06481933594
2018-01-18,481559.0,480386.59619140625
2018-01-19,434918.0,441533.7578125
2018-01-20,367001.0,398341.58984375
2018-01-21,333898.0,357241.9951171875
2018-01-22,348234.0,365942.94921875
2018-01-23,359953.0,377228.546875
2018-01-24,397789.0,405360.66796875
2018-01-25,403360.0,405532.330078125
2018-01-26,390355.0,383071.7734375
2018-01-27,348457.0,340149.60546875
