date,tavg,tmax,tmin,prcp,wspd,pres,rhum,tsun
2017-02-26,1.0,6.1,-3.4,0.0,18.2,993.3,52,38787.64
2017-02-27,5.0,8.0,1.8,0.6,18.0,996.8,70,10343.88
2017-02-28,8.5,14.7,2.4,9.9,21.1,990.3,92,1540.88
2017-03-01,12.8,18.0,4.2,48.5,37.2,977.8,81,21600.0
2017-03-02,1.9,4.7,-0.6,0.7,33.5,993.2,58,36587.56
2017-03-03,-1.8,1.5,-4.8,0.3,28.3,1003.5,57,37165.17
2017-03-04,-2.7,2.3,-6.8,0.0,9.1,1009.0,56,30529.54
2017-03-05,3.5,13.6,-4.0,0.0,14.8,1003.2,56,39427.22
2017-03-06,10.0,11.9,6.7,6.9,21.6,995.5,77,0.0
2017-03-07,12.0,14.6,7.9,16.1,26.5,988.3,84,0.0
2017-03-08,9.0,13.9,4.2,0.0,38.1,992.2,42,40290.31
2017-03-09,8.3,15.2,0.7,0.3,17.0,992.3,53,37676.09
2017-03-10,0.7,4.9,-4.0,5.1,27.7,994.0,62,38789.9
2017-03-11,-4.3,0.5,-8.4,0.0,20.3,1001.4,48,37242.69
2017-03-12,-3.3,1.3,-7.2,0.0,11.7,1002.0,53,40158.03
2017-03-13,-0.6,4.8,-4.1,2.1,14.8,994.8,57,12398.72
2017-03-14,-4.0,-1.9,-7.8,0.8,32.8,990.6,59,25935.49
2017-03-15,-4.5,2.1,-8.8,0.0,31.5,994.8,37,36495.93
2017-03-16,-1.4,4.8,-6.4,0.0,19.2,998.3,53,41742.67
2017-03-17,-0.6,2.2,-5.3,6.0,18.5,995.5,75,963.01
2017-03-18,4.9,8.3,1.2,0.7,26.3,990.7,83,26122.6
2017-03-19,4.0,6.6,0.9,0.2,14.7,998.5,75,10932.86
2017-03-20,3.9,8.9,-0.4,13.3,19.2,992.9,87,5756.7
2017-03-21,8.9,14.4,5.6,0.0,20.3,990.7,74,33553.53
2017-03-22,-0.0,4.1,-4.7,0.0,26.6,1002.7,52,42586.62
2017-03-23,2.2,11.6,-5.7,0.0,15.5,1003.1,51,42598.82
2017-03-24,14.2,21.9,5.6,1.4,29.4,994.2,65,37466.27
2017-03-25,16.8,21.7,12.1,0.0,13.8,992.6,73,32715.47
2017-03-26,14.4,17.4,11.9,11.5,23.2,988.3,84,12586.28
2017-03-27,13.8,18.8,8.5,0.4,12.8,986.8,80,21194.03
2017-03-28,12.5,15.6,8.5,6.4,19.4,987.3,85,24412.56
2017-03-29,10.0,16.8,3.0,0.0,15.0,994.2,64,43575.38
2017-03-30,14.2,23.2,7.7,8.7,21.7,983.2,69,30199.85
2017-03-31,12.9,15.6,7.3,31.0,20.5,977.6,91,0.0
2017-04-01,6.8,10.8,4.3,0.1,18.1,992.0,74,25053.6
2017-04-02,8.5,16.1,1.2,0.0,11.5,994.5,69,44233.91
2017-04-03,12.8,18.5,7.5,10.0,22.1,980.0,73,2997.74
2017-04-04,14.0,16.4,9.5,4.5,33.9,977.0,79,33385.05
2017-04-05,12.7,21.5,4.8,9.3,24.1,980.6,74,41645.35
2017-04-06,8.2,15.5,2.0,5.9,39.2,971.0,81,6335.44
2017-04-07,4.6,10.1,1.6,2.4,29.8,984.4,67,34457.54
2017-04-08,6.6,14.5,-2.0,0.0,11.8,990.9,60,46219.6
2017-04-09,12.2,21.8,2.7,0.0,21.2,989.6,57,46369.98
2017-04-10,17.6,24.0,11.7,0.0,26.7,989.7,52,44595.96
2017-04-11,15.8,20.0,12.9,11.3,19.6,993.1,72,564.13
2017-04-12,12.0,17.7,5.5,0.0,14.8,999.6,67,46649.0
2017-04-13,12.6,17.9,6.3,0.4,12.6,1000.2,62,38386.41
2017-04-14,14.9,21.7,8.9,6.7,12.0,997.2,67,41346.78
2017-04-15,18.6,25.5,10.8,1.7,24.9,993.4,66,39687.06
2017-04-16,19.3,23.4,15.6,6.0,31.4,989.4,71,46790.51
2017-04-17,15.9,19.8,10.7,0.4,12.6,992.9,63,38306.02
2017-04-18,15.4,23.0,7.2,0.0,17.4,995.8,56,46800.0
2017-04-19,18.8,23.9,14.9,3.6,20.3,992.9,81,33479.47
2017-04-20,20.1,26.4,14.1,1.8,27.0,988.3,76,46800.0
2017-04-21,15.1,19.2,11.9,0.4,21.5,987.6,68,35370.63
2017-04-22,9.9,13.5,7.1,3.1,19.9,990.8,64,18735.38
2017-04-23,11.7,19.9,3.8,0.0,15.5,990.3,58,46800.0
2017-04-24,13.1,20.8,6.4,0.0,23.7,987.1,63,37929.95
2017-04-25,16.0,22.0,9.9,0.0,13.9,982.4,73,33402.09
2017-04-26,19.0,26.9,10.9,0.0,21.9,978.8,73,46800.0
2017-04-27,18.9,23.1,12.9,1.1,37.1,977.7,69,36000.0
2017-04-28,14.0,20.5,7.8,2.8,19.8,988.0,75,24002.97
2017-04-29,18.2,24.2,14.3,33.7,18.1,990.0,88,18000.0
2017-04-30,21.4,26.5,14.9,5.0,26.7,987.0,77,42144.95
