date,truth,gru_pred
2017-10-30,358027.0,352318.62109375
2017-10-31,348892.0,365456.7138671875
2017-11-01,348190.0,348037.3084716797
2017-11-02,326441.0,348560.5153503418
2017-11-03,315836.0,317376.2197265625
2017-11-04,296228.0,299434.044921875
2017-11-05,296819.0,289374.79931640625
2017-11-06,317579.0,334442.625
2017-11-07,337042.0,332979.3505859375
2017-11-08,350466.0,345560.2626953125
2017-11-09,352122.0,353048.45751953125
2017-11-10,367495.0,348159.02001953125
2017-11-11,363571.0,353885.9306640625
2017-11-12,336239.0,353566.2177734375
2017-11-13,360492.0,353407.392578125
2017-11-14,362449.0,364351.8400878906
2017-11-15,371627.0,360630.9372558594
2017-11-16,358535.0,370024.4024658203
2017-11-17,356502.0,350221.7158203125
2017-11-18,324239.0,334103.8671875
2017-11-19,331229.0,315245.2314453125
2017-11-20,376104.0,377314.15234375
2017-11-21,366962.0,382803.470703125
2017-11-22,356644.0,360981.89599609375
2017-11-23,337925.0,358050.6544189453
2017-11-24,326851.0,338116.5204925537
2017-11-25,310404.0,313715.4326171875
2017-11-26,327851.0,312629.1491699219
2017-11-27,367684.0,373518.65625
2017-11-28,358689.0,364711.78564453125
2017-11-29,350667.0,353402.56103515625
2017-11-30,352533.0,349208.9755859375
2017-12-01,350211.0,344615.7314453125
2017-12-02,339917.0,332511.943359375
2017-12-03,327569.0,333836.0126953125
2017-12-04,363368.0,357923.396484375
2017-12-05,352854.0,375397.91015625
2017-12-06,383091.0,360906.55712890625
2017-12-07,399318.0,400314.048828125
2017-12-08,413441.0,391907.57080078125
2017-12-09,394494.0,389647.341796875
2017-12-10,380702.0,374942.630859375
2017-12-11,398443.0,402417.2265625
2017-12-12,415576.0,392823.6982421875
2017-12-13,436002.0,426304.4912109375
2017-12-14,411556.0,428472.8203125
2017-12-15,424291.0,395729.93359375
2017-12-16,375683.0,402045.15234375
2017-12-17,366546.0,341629.41796875
2017-12-18,373903.0,382826.2646484375
2017-12-19,358916.0,367598.81396484375
2017-12-20,362297.0,357449.3885498047
2017-12-21,380985.0,361589.59686279297
2017-12-22,350410.0,367845.06640625
2017-12-23,326509.0,317314.5546875
2017-12-24,330255.0,318962.861328125
2017-12-25,362107.0,352356.751953125
2017-12-26,400713.0,409053.390625
2017-12-27,439663.0,403194.3994140625
2017-12-28,465511.0,432161.81689453125
2017-12-29,434221.0,437088.697265625
2017-12-30,414764.0,390972.28515625
2017-12-31,441162.0,397376.72265625
2018-01-01,468324.0,440604.90447998047
2018-01-02,502524.0,505440.26171875
2018-01-03,496690.0,500720.1356201172
2018-01-04,491361.0,461097.5390625
2018-01-05,508004.0,480727.7060546875
2018-01-06,500348.0,461492.484375
2018-01-07,475281.0,460953.859375
2018-01-08,437769.0,448833.28515625
2018-01-09,400218.0,415750.94140625
2018-01-10,384672.0,405719.5986328125
2018-01-11,356455.0,381754.98046875
2018-01-12,361633.0,345998.9951171875
2018-01-13,422123.0,365357.0544433594
2018-01-14,441362.0,454412.80078125
2018-01-15,464372.0,460669.369140625
2018-01-16,458549.0,439180.6953125
2018-01-17,487519.0,458191.1381530762
2018-01-18,481559.0,487860.6659851074
2018-01-19,434918.0,448667.453125
2018-01-20,367001.0,392187.234375
2018-01-21,333898.0,367113.1432876587
2018-01-22,348234.0,369623.328125
2018-01-23,359953.0,364303.1015625
2018-01-24,397789.0,397216.11328125
2018-01-25,403360.0,406852.2958984375
2018-01-26,390355.0,392992.2353515625
2018-01-27,348457.0,344550.6171875
2018-01-28,326238.0,338697.5009765625
2018-01-29,387501.0,352222.572265625
2018-01-30,431889.0,406440.52734375
2018-01-31,422231.0,437535.837890625
2018-02-01,392972.0,403255.263671875
2018-02-02,443518.0,397010.3342285156
2018-02-03,426770.0,447728.138671875
2018-02-04,380323.0,384730.55859375
2018-02-05,426724.0,425602.35546875
2018-02-06,421241.0,451360.509765625
2018-02-07,418215.0,413452.07373046875
2018-02-08,424763.0,422195.1770019531
2018-02-09,404233.0,422635.67724609375
2018-02-10,357500.0,354250.2734375
2018-02-11,337248.0,349741.3369140625
2018-02-12,384094.0,378084.60546875
2018-02-13,397955.0,397281.423828125
2018-02-14,369818.0,379340.091796875
2018-02-15,335272.0,355854.142578125
2018-02-16,343395.0,335660.46130371094
2018-02-17,365337.0,332992.5556640625
2018-02-18,334161.0,374673.4189453125
2018-02-19,348909.0,368429.41015625
2018-02-20,324360.0,364582.4287109375
2018-02-21,325259.0,328149.5495605469
2018-02-22,345087.0,348429.361328125
2018-02-23,325896.0,344743.5526123047
2018-02-24,303851.0,295860.63671875
2018-02-25,295965.0,308127.80078125
2018-02-26,340296.0,340045.51953125
2018-02-27,354475.0,353580.96875
2018-02-28,338281.0,349675.70751953125
2018-03-01,344032.0,340425.2502441406
2018-03-02,367291.0,364985.650390625
2018-03-03,349476.0,358519.09765625
2018-03-04,340154.0,333221.109375
2018-03-05,373271.0,372707.873046875
2018-03-06,360340.0,371121.6462402344
2018-03-07,382954.0,350164.2236328125
2018-03-08,404747.0,389240.8720703125
2018-03-09,397214.0,395485.8837890625
2018-03-10,355135.0,358572.96875
2018-03-11,328186.0,328308.02734375
2018-03-12,390143.0,361743.92578125
2018-03-13,400009.0,397298.8291015625
2018-03-14,410640.0,389819.6552734375
2018-03-15,385679.0,405133.05322265625
2018-03-16,372149.0,357336.056640625
2018-03-17,350281.0,339239.32421875
2018-03-18,315263.0,329804.482421875
2018-03-19,347276.0,343010.26953125
2018-03-20,369195.0,360798.189453125
2018-03-21,398255.0,375171.99658203125
2018-03-22,387598.0,400625.7626953125
2018-03-23,376075.0,365622.107421875
2018-03-24,368372.0,339444.16015625
2018-03-25,340822.0,345841.15625
2018-03-26,361411.0,367054.701171875
2018-03-27,355959.0,359744.4718017578
2018-03-28,336093.0,351768.166015625
2018-03-29,329962.0,333774.744140625
2018-03-30,315710.0,327007.8046875
2018-03-31,314954.0,302493.322265625
2018-04-01,293306.0,308271.72412109375
2018-04-02,340887.0,337064.55078125
2018-04-03,338604.0,362496.021484375
2018-04-04,344124.0,349440.2431640625
2018-04-05,362570.0,369613.640625
2018-04-06,343354.0,353789.5849609375
2018-04-07,343202.0,302307.07421875
2018-04-08,339525.0,347961.5380859375
2018-04-09,373844.0,376070.08984375
2018-04-10,361992.0,372904.5002441406
2018-04-11,339926.0,352869.548828125
